source_category,source_service_name,service_domain,service_group,service_name,is_clinical,is_malaria_related,include_in_analysis,needs_review
clinical_services,Accident And Emergency,Clinical Services,Emergency Services,Accident and Emergency,TRUE,FALSE,TRUE,FALSE
clinical_services,Addiction Management,Clinical Services,General Clinical Services,Addiction Management,TRUE,FALSE,TRUE,FALSE
clinical_services,Admissions For General Patients,Clinical Services,General Inpatient (IPD),General Inpatient Care,TRUE,FALSE,TRUE,FALSE
clinical_services,Aesthetics,Clinical Services,General Clinical Services,Aesthetics,TRUE,FALSE,TRUE,TRUE
clinical_services,Ambulance Service,Clinical Services,Emergency Services,Ambulance Service,TRUE,FALSE,TRUE,FALSE
clinical_services,Anesthesiology,Clinical Services,Surgical Services,Anesthesiology,TRUE,FALSE,TRUE,FALSE
clinical_services,Ante Natal Care,Reproductive & Maternal Health,Reproductive & Maternal Health Services,Antenatal Care (ANC),TRUE,FALSE,TRUE,FALSE
clinical_services,Anti-Retroviral Therapy,HIV/AIDS Services,HIV/AIDS Care and Treatment,Antiretroviral Therapy (ART),TRUE,FALSE,TRUE,FALSE
clinical_services,Athroplasty,Clinical Services,Surgical Services,Arthroplasty,TRUE,FALSE,TRUE,FALSE
clinical_services,Audiology,Diagnostic Services,Diagnostic Services,Audiology,TRUE,FALSE,TRUE,FALSE
clinical_services,Aviation Medical Examiner,Clinical Services,General Clinical Services,Aviation Medical Examination,TRUE,FALSE,TRUE,TRUE
clinical_services,Blood Donation,Community & Preventive Health,Health Promotion and Disease Prevention,Blood Donation,TRUE,FALSE,TRUE,FALSE
clinical_services,Blood Pressure Monitoring,Community & Preventive Health,Health Promotion and Disease Prevention,Blood Pressure Monitoring,TRUE,FALSE,TRUE,FALSE
clinical_services,Cancer Screening,Diagnostic Services,Diagnostic Services,Cancer Screening,TRUE,FALSE,TRUE,FALSE
clinical_services,Cardiology,Clinical Services,General Clinical Services,Cardiology,TRUE,FALSE,TRUE,FALSE
clinical_services,Cervical Cancer Clinic,Reproductive & Maternal Health,Reproductive & Maternal Health Services,Cervical Cancer Clinic,TRUE,FALSE,TRUE,FALSE
clinical_services,Cervical Cancer Screening,Reproductive & Maternal Health,Reproductive & Maternal Health Services,Cervical Cancer Screening,TRUE,FALSE,TRUE,FALSE
clinical_services,Child Welfare Clinic,Community & Preventive Health,Growth Monitoring & Nutrition,Child Welfare Clinic,TRUE,FALSE,TRUE,FALSE
clinical_services,Chiropractic,Clinical Services,General Clinical Services,Chiropractic,TRUE,FALSE,TRUE,FALSE
clinical_services,Cholesterol and Diabetes Screening,Diagnostic Services,Diagnostic Services,Cholesterol and Diabetes Screening,TRUE,FALSE,TRUE,FALSE
clinical_services,Chronic patient care,Clinical Services,General Clinical Services,Chronic Patient Care,TRUE,FALSE,TRUE,FALSE
clinical_services,Clinical Exercise Therapy,Clinical Services,General Clinical Services,Clinical Exercise Therapy,TRUE,FALSE,TRUE,FALSE
clinical_services,Clinical Social Work,Support Services,Support Services,Clinical Social Work,FALSE,FALSE,FALSE,FALSE
clinical_services,Community Home Based Care (CHBC),Community & Preventive Health,Health Promotion and Disease Prevention,Community Home Based Care,TRUE,FALSE,TRUE,FALSE
clinical_services,Condom Distribution,Community & Preventive Health,Health Promotion and Disease Prevention,Condom Distribution,TRUE,FALSE,TRUE,FALSE
clinical_services,Consultant Physician,Clinical Services,General Clinical Services,Consultant Physician,TRUE,FALSE,TRUE,FALSE
clinical_services,Corporate Health and Wellness,Clinical Services,General Clinical Services,Corporate Health and Wellness,TRUE,FALSE,TRUE,TRUE
clinical_services,Cross Border Services,Community & Preventive Health,Health Promotion and Disease Prevention,Cross Border Services,TRUE,FALSE,TRUE,TRUE
clinical_services,Dental,Clinical Services,General Clinical Services,Dental Services,TRUE,FALSE,TRUE,FALSE
clinical_services,Dermatology,Clinical Services,General Clinical Services,Dermatology,TRUE,FALSE,TRUE,FALSE
clinical_services,Diabetic Center,Clinical Services,General Clinical Services,Diabetic Clinic,TRUE,FALSE,TRUE,FALSE
clinical_services,Diagnostic,Diagnostic Services,Diagnostic Services,Diagnostic Services,TRUE,FALSE,TRUE,FALSE
clinical_services,Diagnostic Imaging Services,Diagnostic Services,Radiology Services,Diagnostic Imaging,TRUE,FALSE,TRUE,FALSE
clinical_services,Diagnostic Regents,Support Services,Commodities and Supplies,Diagnostic Reagents,FALSE,FALSE,FALSE,FALSE
clinical_services,Dietetics,Clinical Services,General Clinical Services,Dietetics,TRUE,FALSE,TRUE,FALSE
clinical_services,Dispensary,Support Services,Therapeutics and Pharmacy,Dispensary,FALSE,FALSE,FALSE,FALSE
clinical_services,Domiciliary,Clinical Services,General Clinical Services,Domiciliary Care,TRUE,FALSE,TRUE,FALSE
clinical_services,Dressings And Injection,Clinical Services,General Clinical Services,Dressings and Injections,TRUE,FALSE,TRUE,FALSE
clinical_services,E-Consulatncy,Clinical Services,General Clinical Services,E-Consultancy,TRUE,FALSE,TRUE,TRUE
clinical_services,Ear Nose Throat,Clinical Services,ENT Services,Ear Nose and Throat,TRUE,FALSE,TRUE,FALSE
clinical_services,Echocardiogram,Diagnostic Services,Diagnostic Services,Echocardiogram,TRUE,FALSE,TRUE,FALSE
clinical_services,Electrocardiogram,Diagnostic Services,Diagnostic Services,Electrocardiogram (ECG),TRUE,FALSE,TRUE,FALSE
clinical_services,Emergency Medical Services,Clinical Services,Emergency Services,Emergency Medical Services,TRUE,FALSE,TRUE,FALSE
clinical_services,Emergency Obstetric Care,Reproductive & Maternal Health,Reproductive & Maternal Health Services,Emergency Obstetric Care,TRUE,FALSE,TRUE,FALSE
clinical_services,Endocrinology,Clinical Services,General Clinical Services,Endocrinology,TRUE,FALSE,TRUE,FALSE
clinical_services,Expanded Program on Immunizations,Community & Preventive Health,Immunisation/Vaccination,Expanded Programme on Immunization (EPI),TRUE,FALSE,TRUE,FALSE
clinical_services,Eye Clinic,Clinical Services,General Clinical Services,Eye Clinic,TRUE,FALSE,TRUE,FALSE
clinical_services,Failure Clinic,Clinical Services,General Clinical Services,Failure Clinic,TRUE,FALSE,TRUE,TRUE
clinical_services,Family Physician Services,Clinical Services,General Clinical Services,Family Physician Services,TRUE,FALSE,TRUE,FALSE
clinical_services,Gastroenterology,Clinical Services,General Clinical Services,Gastroenterology,TRUE,FALSE,TRUE,FALSE
clinical_services,General Consultation,Clinical Services,General Clinical Services,General Consultation,TRUE,FALSE,TRUE,FALSE
clinical_services,General Counselling,Clinical Services,General Clinical Services,General Counselling,TRUE,FALSE,TRUE,FALSE
clinical_services,General Practice,Clinical Services,General Clinical Services,General Practice,TRUE,FALSE,TRUE,FALSE
clinical_services,General Screening,Diagnostic Services,Diagnostic Services,General Screening,TRUE,FALSE,TRUE,FALSE
