source_category,source_service_name,service_domain,service_group,service_name,is_clinical,is_malaria_related,include_in_analysis,needs_review
clinical_services,ANC,Reproductive & Maternal Health,Reproductive & Maternal Health Services,ANC,TRUE,FALSE,TRUE,FALSE
clinical_services,Abortion care (CAC),Reproductive & Maternal Health,Reproductive & Maternal Health Services,Abortion care (CAC),TRUE,FALSE,TRUE,FALSE
clinical_services,Adolescent & youth health service,Reproductive & Maternal Health,Reproductive & Maternal Health Services,Adolescent & youth health service,TRUE,FALSE,TRUE,FALSE
clinical_services,Adolescent friendly sexual and reproductive health service,Reproductive & Maternal Health,Reproductive & Maternal Health Services,Adolescent friendly sexual and reproductive health service,TRUE,FALSE,TRUE,FALSE
clinical_services,Adolescent health,Reproductive & Maternal Health,Reproductive & Maternal Health Services,Adolescent health,TRUE,FALSE,TRUE,FALSE
clinical_services,Allergy management service with side laboratory,Clinical Services,ENT Services,Allergy management service with side laboratory,TRUE,FALSE,TRUE,FALSE
clinical_services,Ambulance service,Clinical Services,Emergency Services,Ambulance service,TRUE,FALSE,TRUE,FALSE
clinical_services,Anesthesia service,Clinical Services,Surgical Services,Anesthesia service,TRUE,FALSE,TRUE,FALSE
clinical_services,Antenatal care follow up and referral,Reproductive & Maternal Health,Reproductive & Maternal Health Services,Antenatal care follow up and referral,TRUE,FALSE,TRUE,FALSE
clinical_services,Attending spontaneous normal delivery,Reproductive & Maternal Health,Reproductive & Maternal Health Services,Attending spontaneous normal delivery,TRUE,FALSE,TRUE,FALSE
clinical_services,Autopsy,Support Services,Support Services,Autopsy,FALSE,FALSE,FALSE,FALSE
clinical_services,"Basic ENT, dental, eye, and mental health service with integrated manner",Clinical Services,ENT Services,"Basic ENT, dental, eye, and mental health service with integrated manner",TRUE,FALSE,TRUE,FALSE
clinical_services,Basic Emergency Obstetric care,Reproductive & Maternal Health,Reproductive & Maternal Health Services,Basic Emergency Obstetric care,TRUE,FALSE,TRUE,FALSE
clinical_services,Blood transfusion service,Diagnostic Services,Diagnostic Services,Blood transfusion service,TRUE,FALSE,TRUE,FALSE
clinical_services,Brach therapy,Clinical Services,General Clinical Services,Brach therapy,TRUE,FALSE,TRUE,FALSE
clinical_services,CEMOC,Reproductive & Maternal Health,Reproductive & Maternal Health Services,CEMOC,TRUE,FALSE,TRUE,FALSE
clinical_services,Cardiac ICU service,Clinical Services,General Inpatient (IPD),Cardiac ICU service,TRUE,FALSE,TRUE,FALSE
clinical_services,Cardiac services,Clinical Services,General Clinical Services,Cardiac services,TRUE,FALSE,TRUE,FALSE
clinical_services,Cardiac surgery/open heart surgery,HIV/AIDS Services,HIV/AIDS Services,Cardiac surgery/open heart surgery,TRUE,FALSE,TRUE,FALSE
clinical_services,Cervical Cancer Treatment,Reproductive & Maternal Health,Reproductive & Maternal Health Services,Cervical Cancer Treatment,TRUE,FALSE,TRUE,FALSE
clinical_services,Cervical cancer screening,Reproductive & Maternal Health,Reproductive & Maternal Health Services,Cervical cancer screening,TRUE,FALSE,TRUE,FALSE
clinical_services,Chemotherapy treatment,Clinical Services,Surgical Services,Chemotherapy treatment,TRUE,FALSE,TRUE,FALSE
clinical_services,Clinical Pharmacy Services,Support Services,Therapeutics and Pharmacy,Clinical Pharmacy Services,FALSE,FALSE,FALSE,FALSE
clinical_services,Colour Test,Clinical Services,ENT Services,Colour Test,TRUE,FALSE,TRUE,FALSE
clinical_services,Comprehensive Abortion care,Reproductive & Maternal Health,Reproductive & Maternal Health Services,Comprehensive Abortion care,TRUE,FALSE,TRUE,FALSE
clinical_services,Comprehensive Family Planning,Reproductive & Maternal Health,Family Planning,Comprehensive Family Planning,TRUE,FALSE,TRUE,FALSE
clinical_services,Consultation of healthy living,Community & Preventive Health,Health Promotion and Disease Prevention,Consultation of healthy living,TRUE,FALSE,TRUE,FALSE
clinical_services,Consultation on infant feeding,Community & Preventive Health,Health Promotion and Disease Prevention,Consultation on infant feeding,TRUE,FALSE,TRUE,FALSE
clinical_services,Cryo-therapy service,Clinical Services,General Clinical Services,Cryo-therapy service,TRUE,FALSE,TRUE,FALSE
clinical_services,Cytology,Diagnostic Services,Laboratory Services,Cytology,TRUE,FALSE,TRUE,FALSE
clinical_services,Daily outpatient services,Clinical Services,ENT Services,Daily outpatient services,TRUE,FALSE,TRUE,FALSE
clinical_services,Delivery,Reproductive & Maternal Health,Reproductive & Maternal Health Services,Delivery,TRUE,FALSE,TRUE,FALSE
clinical_services,Dentistry services,Clinical Services,ENT Services,Dentistry services,TRUE,FALSE,TRUE,FALSE
clinical_services,Dermatology services,Clinical Services,General Clinical Services,Dermatology services,TRUE,FALSE,TRUE,FALSE
clinical_services,Dialysis,Clinical Services,General Clinical Services,Dialysis,TRUE,FALSE,TRUE,FALSE
clinical_services,Drug dependency rehabilitation,Clinical Services,General Clinical Services,Drug dependency rehabilitation,TRUE,FALSE,TRUE,FALSE
clinical_services,Electro Encephalography ( EEG ) Testing Service,Diagnostic Services,Diagnostic Services,Electro Encephalography ( EEG ) Testing Service,TRUE,FALSE,TRUE,FALSE
clinical_services,Electro-cautery service,Diagnostic Services,Diagnostic Services,Electro-cautery service,TRUE,FALSE,TRUE,FALSE
clinical_services,Emergency Pharmacy Services,Support Services,Therapeutics and Pharmacy,Emergency Pharmacy Services,FALSE,FALSE,FALSE,FALSE
clinical_services,Emergency gastroenterology and/ or care for GI bleedings,Clinical Services,Emergency Services,Emergency gastroenterology and/ or care for GI bleedings,TRUE,FALSE,TRUE,FALSE
clinical_services,Emergency oral and maxillofacial surgery services,Clinical Services,Surgical Services,Emergency oral and maxillofacial surgery services,TRUE,FALSE,TRUE,FALSE
clinical_services,Emergency service,Clinical Services,Emergency Services,Emergency service,TRUE,FALSE,TRUE,FALSE
clinical_services,Emergency service as first Aid,Clinical Services,Emergency Services,Emergency service as first Aid,TRUE,FALSE,TRUE,FALSE
clinical_services,Error,Support Services,Support Services,Error,FALSE,FALSE,FALSE,TRUE
clinical_services,Essential new born care,Reproductive & Maternal Health,Reproductive & Maternal Health Services,Essential new born care,TRUE,FALSE,TRUE,FALSE
clinical_services,Extracorporal Shock Wave Lithotripsy,Clinical Services,Surgical Services,Extracorporal Shock Wave Lithotripsy,TRUE,FALSE,TRUE,FALSE
clinical_services,Family Planning,Reproductive & Maternal Health,Family Planning,Family Planning,TRUE,FALSE,TRUE,FALSE
clinical_services,Gastroenterology,Clinical Services,General Clinical Services,Gastroenterology,TRUE,FALSE,TRUE,FALSE
clinical_services,General Anesthesia service,Clinical Services,Surgical Services,General Anesthesia service,TRUE,FALSE,TRUE,FALSE
clinical_services,Growth monitoring and promotion,Community & Preventive Health,Growth Monitoring & Nutrition,Growth monitoring and promotion,TRUE,FALSE,TRUE,FALSE
clinical_services,HIV /AIDS testing,HIV/AIDS Services,HIV/AIDS Services,HIV /AIDS testing,TRUE,FALSE,TRUE,FALSE
clinical_services,HIV/AIDS Care and treatment,HIV/AIDS Services,HIV/AIDS Services,HIV/AIDS Care and treatment,TRUE,FALSE,TRUE,FALSE
clinical_services,Health Promotion Service,Community & Preventive Health,Health Promotion and Disease Prevention,Health Promotion Service,TRUE,FALSE,TRUE,FALSE
clinical_services,Hemodialysis,Clinical Services,General Clinical Services,Hemodialysis,TRUE,FALSE,TRUE,FALSE
clinical_services,Hepathopanceriatobiliary Interventions,Clinical Services,General Clinical Services,Hepathopanceriatobiliary Interventions,TRUE,FALSE,TRUE,FALSE
clinical_services,Hospital Based Medicine Preparations,HIV/AIDS Services,HIV/AIDS Services,Hospital Based Medicine Preparations,TRUE,FALSE,TRUE,FALSE
clinical_services,IMNCI/ICCM,Community & Preventive Health,Growth Monitoring & Nutrition,IMNCI/ICCM,TRUE,FALSE,TRUE,FALSE
clinical_services,Immunization service,Community & Preventive Health,Immunisation/Vaccination,Immunization service,TRUE,FALSE,TRUE,FALSE
clinical_services,"Individual, group and family therapy",Clinical Services,General Clinical Services,"Individual, group and family therapy",TRUE,FALSE,TRUE,FALSE
clinical_services,Inpatient service,Clinical Services,General Inpatient (IPD),Inpatient service,TRUE,FALSE,TRUE,FALSE
clinical_services,Inpatient services,Clinical Services,General Inpatient (IPD),Inpatient services,TRUE,FALSE,TRUE,FALSE
clinical_services,Insertion of stents,Clinical Services,Surgical Services,Insertion of stents,TRUE,FALSE,TRUE,FALSE
clinical_services,Integrated Management of newborn and Childhood Illness/integrated community case management(IMNCI/ICCM),Reproductive & Maternal Health,Reproductive & Maternal Health Services,Integrated Management of newborn and Childhood Illness/integrated community case management(IMNCI/ICCM),TRUE,FALSE,TRUE,FALSE
clinical_services,Integrated psychiatry emergency service,Clinical Services,Emergency Services,Integrated psychiatry emergency service,TRUE,FALSE,TRUE,FALSE
clinical_services,Internal medicine service,Clinical Services,General Clinical Services,Internal medicine service,TRUE,FALSE,TRUE,FALSE
clinical_services,Interventional catheterization service,Clinical Services,Surgical Services,Interventional catheterization service,TRUE,FALSE,TRUE,FALSE
clinical_services,Investigation & interventions with endoscopies,Clinical Services,Surgical Services,Investigation & interventions with endoscopies,TRUE,FALSE,TRUE,FALSE
clinical_services,Keratometry and ultrasound examinations,Clinical Services,ENT Services,Keratometry and ultrasound examinations,TRUE,FALSE,TRUE,FALSE
clinical_services,Laser therapy,Clinical Services,General Clinical Services,Laser therapy,TRUE,FALSE,TRUE,FALSE
clinical_services,Local Anesthesia service,Clinical Services,Surgical Services,Local Anesthesia service,TRUE,FALSE,TRUE,FALSE
clinical_services,MCH Anesthesia service,Reproductive & Maternal Health,Reproductive & Maternal Health Services,MCH Anesthesia service,TRUE,FALSE,TRUE,FALSE
