source_category,source_service_name,service_domain,service_group,service_name,is_clinical,is_malaria_related,include_in_analysis,needs_review
ACCIDENT AND EMERGENCY CASUALTY SERVICES,Accident and Emergency casualty Services,Clinical Services,Emergency Services,Accident and Emergency casualty Services,TRUE,FALSE,TRUE,FALSE
ACCIDENT AND EMERGENCY CASUALTY SERVICES,General Emergency  Services,Clinical Services,Emergency Services,General Emergency  Services,TRUE,FALSE,TRUE,FALSE
ACCIDENT AND EMERGENCY CASUALTY SERVICES,General Emergency Services,Clinical Services,Emergency Services,General Emergency Services,TRUE,FALSE,TRUE,FALSE
AMBULATORY SERVICES,Ambulatory Services,Clinical Services,General Clinical Services,Ambulatory Services,TRUE,FALSE,TRUE,FALSE
ANTENATAL CARE,Focused Antenatal Care,Reproductive & Maternal Health,Reproductive & Maternal Health Services,Focused Antenatal Care,TRUE,FALSE,TRUE,FALSE
ANTENATAL CARE,Specialised ANC -high risk pregnancy,Reproductive & Maternal Health,Reproductive & Maternal Health Services,Specialised ANC -high risk pregnancy,TRUE,FALSE,TRUE,FALSE
BLOOD SERVICES,Blood Bank,Diagnostic Services,Diagnostic Services,Blood Bank,TRUE,FALSE,TRUE,FALSE
BLOOD SERVICES,Blood bank,Diagnostic Services,Diagnostic Services,Blood bank,TRUE,FALSE,TRUE,FALSE
BLOOD SERVICES,Facility offering Blood Transfusion Service,Diagnostic Services,Diagnostic Services,Facility offering Blood Transfusion Service,TRUE,FALSE,TRUE,FALSE
BLOOD SERVICES,Regional Blood bank,Diagnostic Services,Diagnostic Services,Regional Blood bank,TRUE,FALSE,TRUE,FALSE
BLOOD SERVICES,Satellite Blood Transfusion service,Diagnostic Services,Diagnostic Services,Satellite Blood Transfusion service,TRUE,FALSE,TRUE,FALSE
CANCER SCREENING,Breast,Diagnostic Services,Diagnostic Services,Breast,TRUE,FALSE,TRUE,FALSE
CANCER SCREENING,Coloreactal,Diagnostic Services,Diagnostic Services,Coloreactal,TRUE,FALSE,TRUE,FALSE
CANCER SCREENING,Colorectal,Diagnostic Services,Diagnostic Services,Colorectal,TRUE,FALSE,TRUE,FALSE
CANCER SCREENING,HPV TEST,Diagnostic Services,Diagnostic Services,HPV TEST,TRUE,FALSE,TRUE,FALSE
CANCER SCREENING,Pap smear,Diagnostic Services,Diagnostic Services,Pap smear,TRUE,FALSE,TRUE,FALSE
CANCER SCREENING,Prostate,Diagnostic Services,Diagnostic Services,Prostate,TRUE,FALSE,TRUE,FALSE
CANCER SCREENING,Screening using VIA/VILI,Diagnostic Services,Diagnostic Services,Screening using VIA/VILI,TRUE,FALSE,TRUE,FALSE
CANCER SCREENING,Visual Inspection Methods (VIA/VILA),Diagnostic Services,Diagnostic Services,Visual Inspection Methods (VIA/VILA),TRUE,FALSE,TRUE,FALSE
CENTRAL STERILE SERVICES DEPARTMENT,Central Sterile Services,Support Services,Equipment and Infrastructure,Central Sterile Services,FALSE,FALSE,FALSE,FALSE
CURATIVE SERVICES,General Outpatient,Clinical Services,General Clinical Services,General Outpatient,TRUE,FALSE,TRUE,FALSE
CURATIVE SERVICES,Inpatient,Clinical Services,General Clinical Services,Inpatient,TRUE,FALSE,TRUE,FALSE
DENTAL SERVICES,Basic dental services,Clinical Services,General Clinical Services,Basic dental services,TRUE,FALSE,TRUE,FALSE
DENTAL SERVICES,Dentist Anesthesiologists,Clinical Services,General Clinical Services,Dentist Anesthesiologists,TRUE,FALSE,TRUE,FALSE
DENTAL SERVICES,Drug dispensing and prescription refill,Clinical Services,General Clinical Services,Drug dispensing and prescription refill,TRUE,FALSE,TRUE,FALSE
DENTAL SERVICES,Endodontist,Clinical Services,General Clinical Services,Endodontist,TRUE,FALSE,TRUE,FALSE
DENTAL SERVICES,Oral and Maxillofacial Pathologist,Clinical Services,General Clinical Services,Oral and Maxillofacial Pathologist,TRUE,FALSE,TRUE,FALSE
DENTAL SERVICES,Oral and Maxillofacial Radiologist,Clinical Services,General Clinical Services,Oral and Maxillofacial Radiologist,TRUE,FALSE,TRUE,FALSE
DENTAL SERVICES,Oral and Maxillofacial Surgeon,Clinical Services,General Clinical Services,Oral and Maxillofacial Surgeon,TRUE,FALSE,TRUE,FALSE
DENTAL SERVICES,Orthodontist,Clinical Services,General Clinical Services,Orthodontist,TRUE,FALSE,TRUE,FALSE
DENTAL SERVICES,Periodontist,Clinical Services,General Clinical Services,Periodontist,TRUE,FALSE,TRUE,FALSE
DENTAL SERVICES,Prosthodontist,Clinical Services,General Clinical Services,Prosthodontist,TRUE,FALSE,TRUE,FALSE
DENTAL SERVICES,Specialised Dental services,Clinical Services,General Clinical Services,Specialised Dental services,TRUE,FALSE,TRUE,FALSE
DENTAL SERVICES,dental xray,Clinical Services,General Clinical Services,dental xray,TRUE,FALSE,TRUE,FALSE
EMERGENCY PREPAREDNESS,Basic Emergency Preparedness -Advanced  Life Support,Clinical Services,Emergency Services,Basic Emergency Preparedness -Advanced  Life Support,TRUE,FALSE,TRUE,FALSE
EMERGENCY PREPAREDNESS,Comprehensive Emergency Preparedness -Basic Life Support,Clinical Services,Emergency Services,Comprehensive Emergency Preparedness -Basic Life Support,TRUE,FALSE,TRUE,FALSE
FAMILY PLANNING,Bilateral Tubal Ligation (BTL),Reproductive & Maternal Health,Family Planning,Bilateral Tubal Ligation (BTL),TRUE,FALSE,TRUE,FALSE
FAMILY PLANNING,Long Acting Method,Reproductive & Maternal Health,Family Planning,Long Acting Method,TRUE,FALSE,TRUE,FALSE
FAMILY PLANNING,Natural,Reproductive & Maternal Health,Family Planning,Natural,TRUE,FALSE,TRUE,FALSE
FAMILY PLANNING,Permanent,Reproductive & Maternal Health,Family Planning,Permanent,TRUE,FALSE,TRUE,FALSE
FAMILY PLANNING,Short Acting Method,Reproductive & Maternal Health,Family Planning,Short Acting Method,TRUE,FALSE,TRUE,FALSE
FAMILY PLANNING,Vasectomy,Reproductive & Maternal Health,Family Planning,Vasectomy,TRUE,FALSE,TRUE,FALSE
FORENSIC SERVICES,Basic -collection and preservation of evidence,Community & Preventive Health,Health Promotion and Disease Prevention,Basic -collection and preservation of evidence,FALSE,FALSE,FALSE,FALSE
FORENSIC SERVICES,"Comprehensive -Collection, Preservation and Analysis of Evidence",Community & Preventive Health,Health Promotion and Disease Prevention,"Comprehensive -Collection, Preservation and Analysis of Evidence",FALSE,FALSE,FALSE,FALSE
FORENSIC SERVICES,Forensic Services,Community & Preventive Health,Health Promotion and Disease Prevention,Forensic Services,FALSE,FALSE,FALSE,FALSE
FORENSIC SERVICES,Post mortem,Community & Preventive Health,Health Promotion and Disease Prevention,Post mortem,FALSE,FALSE,FALSE,FALSE
HIGH DEPENDENCY SERVICES,High depedency Services,Clinical Services,General Inpatient (IPD),High depedency Services,TRUE,FALSE,TRUE,FALSE
HIV TREATMENT,HIV treatment and care,HIV/AIDS Services,HIV/AIDS Care and Treatment,HIV treatment and care,TRUE,FALSE,TRUE,FALSE
HIV/AIDS PREVENTION AND CARE SERVICES,ARV for PREP,HIV/AIDS Services,HIV/AIDS Services,ARV for PREP,TRUE,FALSE,TRUE,FALSE
HIV/AIDS PREVENTION AND CARE SERVICES,Condom Distribution \u0026 STI Prevention,HIV/AIDS Services,HIV/AIDS Services,Condom Distribution \u0026 STI Prevention,TRUE,FALSE,TRUE,FALSE
HIV/AIDS PREVENTION AND CARE SERVICES,EMTCT-Elimination of Mother to Child  Transmission of HIV,HIV/AIDS Services,HIV/AIDS Services,EMTCT-Elimination of Mother to Child  Transmission of HIV,TRUE,FALSE,TRUE,FALSE
