"source_service_name","service_domain","service_group","service_name","is_clinical","is_malaria_related","include_in_analysis","needs_review"
"ANC guidelines","Support Services","Guidelines and Job Aids","ANC guidelines",FALSE,FALSE,FALSE,FALSE
"ANC job aid","Support Services","Guidelines and Job Aids","ANC job aid",FALSE,FALSE,FALSE,FALSE
"ARI","Community & Preventive Health","Health Promotion and Disease Prevention","ARI",TRUE,FALSE,TRUE,FALSE
"ART","HIV/AIDS Services","HIV/AIDS Services","ART",TRUE,FALSE,TRUE,FALSE
"ART Pescriptions","HIV/AIDS Services","HIV/AIDS Services","ART Pescriptions",TRUE,FALSE,TRUE,FALSE
"ART follow up","HIV/AIDS Services","HIV/AIDS Services","ART follow up",TRUE,FALSE,TRUE,FALSE
"ART for Pregnant women","HIV/AIDS Services","HIV/AIDS Services","ART for Pregnant women",TRUE,FALSE,TRUE,FALSE
"ART providers","HIV/AIDS Services","HIV/AIDS Services","ART providers",TRUE,FALSE,TRUE,FALSE
"ART services","HIV/AIDS Services","HIV/AIDS Services","ART services",TRUE,FALSE,TRUE,FALSE
"ARV Prophylaxis","Support Services","Commodities and Supplies","ARV Prophylaxis",FALSE,FALSE,FALSE,FALSE
"ARV prohpylaxis  for newborn","Support Services","Commodities and Supplies","ARV prohpylaxis  for newborn",FALSE,FALSE,FALSE,FALSE
"Accidents & Emergencies","Clinical Services","General Clinical Services","Accidents & Emergencies",TRUE,FALSE,TRUE,FALSE
"Acredited microscopist","Support Services","Support Services","Acredited microscopist",FALSE,FALSE,FALSE,FALSE
"Active management of third stage of labor","Reproductive & Maternal Health","Reproductive & Maternal Health Services","Active management of third stage of labor",TRUE,FALSE,TRUE,FALSE
"Adult less than 36 kg","Support Services","Commodities and Supplies","Adult less than 36 kg",FALSE,FALSE,FALSE,FALSE
"Adult more than 36 kg","Support Services","Commodities and Supplies","Adult more than 36 kg",FALSE,FALSE,FALSE,FALSE
"Adult, Injectable Artesunate","Support Services","Commodities and Supplies","Adult, Injectable Artesunate",FALSE,FALSE,FALSE,FALSE
"Agglutination test","Diagnostic Services","Diagnostic Services","Agglutination test",TRUE,FALSE,TRUE,FALSE
"Alt testing","Diagnostic Services","Diagnostic Services","Alt testing",TRUE,FALSE,TRUE,FALSE
"Amoxixillin Treatment","Support Services","Commodities and Supplies","Amoxixillin Treatment",FALSE,FALSE,FALSE,FALSE
"Ampicilin","Support Services","Commodities and Supplies","Ampicilin",FALSE,FALSE,FALSE,FALSE
"Amputation","Clinical Services","General Clinical Services","Amputation",TRUE,FALSE,TRUE,FALSE
"Anaesthetist","Support Services","Support Services","Anaesthetist",FALSE,FALSE,FALSE,FALSE
"Ante-natal Services","Reproductive & Maternal Health","Reproductive & Maternal Health Services","Ante-natal Services",TRUE,FALSE,TRUE,FALSE
"Antibiotics","Support Services","Commodities and Supplies","Antibiotics",FALSE,FALSE,FALSE,FALSE
"Assay kit for CD4 count testing","Support Services","Equipment and Infrastructure","Assay kit for CD4 count testing",FALSE,FALSE,FALSE,FALSE
"Assisted vaginal","Reproductive & Maternal Health","Reproductive & Maternal Health Services","Assisted vaginal",TRUE,FALSE,TRUE,FALSE
"Auto disposable Syringes","Support Services","Equipment and Infrastructure","Auto disposable Syringes",FALSE,FALSE,FALSE,FALSE
"Auto disposable syringes","Support Services","Equipment and Infrastructure","Auto disposable syringes",FALSE,FALSE,FALSE,FALSE
"Auto-disable syringes","Support Services","Equipment and Infrastructure","Auto-disable syringes",FALSE,FALSE,FALSE,FALSE
"Azithromycin","Support Services","Commodities and Supplies","Azithromycin",FALSE,FALSE,FALSE,FALSE
"BCG vaccine","Support Services","Commodities and Supplies","BCG vaccine",FALSE,FALSE,FALSE,FALSE
"BCG vaccine diluent","Support Services","Commodities and Supplies","BCG vaccine diluent",FALSE,FALSE,FALSE,FALSE
"BCG vaccine stock out","Support Services","Supply Chain Records","BCG vaccine stock out",FALSE,FALSE,FALSE,FALSE
"Benzathine/Benzylpenicin","Support Services","Commodities and Supplies","Benzathine/Benzylpenicin",FALSE,FALSE,FALSE,FALSE
"Betamethasone injectable","Support Services","Commodities and Supplies","Betamethasone injectable",FALSE,FALSE,FALSE,FALSE
"Bin","Support Services","Equipment and Infrastructure","Bin",FALSE,FALSE,FALSE,FALSE
"Biochemistry analyser for kidney and liver function","Support Services","Equipment and Infrastructure","Biochemistry analyser for kidney and liver function",FALSE,FALSE,FALSE,FALSE
" Blood Transfusion","Diagnostic Services","Diagnostic Services","Blood Transfusion",TRUE,FALSE,TRUE,FALSE
"Blood glucose test","Diagnostic Services","Diagnostic Services","Blood glucose test",TRUE,FALSE,TRUE,FALSE
"Blood group serology","Diagnostic Services","Diagnostic Services","Blood group serology",TRUE,FALSE,TRUE,FALSE
"Blood group testing","Diagnostic Services","Diagnostic Services","Blood group testing",TRUE,FALSE,TRUE,FALSE
"Blood obtained from other sources","Diagnostic Services","Laboratory - Haematology","Blood obtained from other sources",TRUE,FALSE,TRUE,FALSE
"Blood ordered from national/regional centre","Diagnostic Services","Laboratory - Haematology","Blood ordered from national/regional centre",TRUE,FALSE,TRUE,FALSE
"Blood screened for HIV","Diagnostic Services","Diagnostic Services","Blood screened for HIV",TRUE,FALSE,TRUE,FALSE
"Blood screened for Hepatitis  B","Diagnostic Services","Diagnostic Services","Blood screened for Hepatitis  B",TRUE,FALSE,TRUE,FALSE
"Blood screened for Hepatitis C","Diagnostic Services","Diagnostic Services","Blood screened for Hepatitis C",TRUE,FALSE,TRUE,FALSE
"Blood screened for Syphillis","Diagnostic Services","Diagnostic Services","Blood screened for Syphillis",TRUE,FALSE,TRUE,FALSE
"Blood screening","Diagnostic Services","Diagnostic Services","Blood screening",TRUE,FALSE,TRUE,FALSE
"Blood stock outs","Support Services","Supply Chain Records","Blood stock outs",FALSE,FALSE,FALSE,FALSE
"Blood sugar test","Diagnostic Services","Diagnostic Services","Blood sugar test",TRUE,FALSE,TRUE,FALSE
"Blood transfusion","Diagnostic Services","Diagnostic Services","Blood transfusion",TRUE,FALSE,TRUE,FALSE
"Breastfeeding/feeding options Counselling","Reproductive & Maternal Health","Reproductive & Maternal Health Services","Breastfeeding/feeding options Counselling",TRUE,FALSE,TRUE,FALSE
"CT-Scan","Diagnostic Services","Diagnostic Services","CT-Scan",TRUE,FALSE,TRUE,FALSE
"Caesarian section","Reproductive & Maternal Health","Reproductive & Maternal Health Services","Caesarian section",TRUE,FALSE,TRUE,FALSE
"Calcium gluconate","Support Services","Commodities and Supplies","Calcium gluconate",FALSE,FALSE,FALSE,FALSE
"Cancer Treatment","Clinical Services","General Clinical Services","Cancer Treatment",TRUE,FALSE,TRUE,FALSE
"Cardiovascular disease management guidelines","Support Services","Guidelines and Job Aids","Cardiovascular disease management guidelines",FALSE,FALSE,FALSE,FALSE
"Cardivascular diseases management","Clinical Services","General Clinical Services","Cardivascular diseases management",TRUE,FALSE,TRUE,FALSE
"Cataract Surgery","Clinical Services","General Clinical Services","Cataract Surgery",TRUE,FALSE,TRUE,FALSE
"Ceasarian section","Reproductive & Maternal Health","Reproductive & Maternal Health Services","Ceasarian section",TRUE,FALSE,TRUE,FALSE
"Cefixime","Support Services","Commodities and Supplies","Cefixime",FALSE,FALSE,FALSE,FALSE
"Centrifuge","Support Services","Equipment and Infrastructure","Centrifuge",FALSE,FALSE,FALSE,FALSE
"Centrifuge and cross match","Support Services","Equipment and Infrastructure","Centrifuge and cross match",FALSE,FALSE,FALSE,FALSE
"Cervical cancer Diagnosis","Reproductive & Maternal Health","Reproductive & Maternal Health Services","Cervical cancer Diagnosis",TRUE,FALSE,TRUE,FALSE
"Child care services","Clinical Services","General Clinical Services","Child care services",TRUE,FALSE,TRUE,FALSE
"Child immunisation","Community & Preventive Health","Community & Preventive Health","Child immunisation",TRUE,FALSE,TRUE,FALSE
"Children less than 15 kg","Support Services","Commodities and Supplies","Children less than 15 kg",FALSE,FALSE,FALSE,FALSE
"Children more than 15 kg","Support Services","Commodities and Supplies","Children more than 15 kg",FALSE,FALSE,FALSE,FALSE
"Children, Injectable Artesunate","Support Services","Commodities and Supplies","Children, Injectable Artesunate",FALSE,FALSE,FALSE,FALSE
"Chlorhexidine","Support Services","Commodities and Supplies","Chlorhexidine",FALSE,FALSE,FALSE,FALSE
"Chronic Respiratory diseases","Clinical Services","General Clinical Services","Chronic Respiratory diseases",TRUE,FALSE,TRUE,FALSE
"Chronic Respiratory diseases management","Clinical Services","General Clinical Services","Chronic Respiratory diseases management",TRUE,FALSE,TRUE,FALSE
