"source_category","source_group","source_detail","service_domain","service_group","service_name","is_clinical","is_malaria_related","include_in_analysis","needs_review"
"diagnostic_services","Diagnostic Services","Laboratory","Diagnostic Services","Diagnostic Services","Laboratory",TRUE,FALSE,TRUE,FALSE
"diagnostic_services","Diagnostic Services","Radiology Services","Diagnostic Services","Diagnostic Services","Radiology Services",TRUE,FALSE,TRUE,FALSE
"diagnostic_services","Diagnostic Services","Xpert-MTB/RIF","Diagnostic Services","Diagnostic Services","Xpert-MTB/RIF",TRUE,FALSE,TRUE,FALSE
"diagnostic_services","Diagnostic Services",NA,"Diagnostic Services","Diagnostic Services",NA,TRUE,FALSE,NA,FALSE
"emergency","Emergency Preparedness","Basic Emergency Preparedness","Clinical Services","Emergency Services","Basic Emergency Preparedness",TRUE,FALSE,TRUE,FALSE
"emergency","Emergency Preparedness","Comprehensive Emergency Preparedness","Clinical Services","Emergency Services","Comprehensive Emergency Preparedness",TRUE,FALSE,TRUE,FALSE
"emergency","Emergency Preparedness","Emergency Care and Trauma","Clinical Services","Emergency Services","Emergency Care and Trauma",TRUE,FALSE,TRUE,FALSE
"ent_services","ENT Services","Audiology and Hearing","Clinical Services","ENT Services","Audiology and Hearing",TRUE,FALSE,TRUE,FALSE
"ent_services","ENT Services","ENT Services","Clinical Services","ENT Services","ENT Services",TRUE,FALSE,TRUE,FALSE
"ent_services","ENT Services","General ENT","Clinical Services","ENT Services","General ENT",TRUE,FALSE,TRUE,FALSE
"ent_services","ENT Services","Head and Neck Surgery","Clinical Services","ENT Services","Head and Neck Surgery",TRUE,FALSE,TRUE,FALSE
"general_services","General Clinical Services","Diabetes Care and Treatment","Clinical Services","General Clinical Services","Diabetes Care and Treatment",TRUE,FALSE,TRUE,FALSE
"general_services","General Clinical Services","General Ophthalmology","Clinical Services","General Clinical Services","General Ophthalmology",TRUE,FALSE,TRUE,FALSE
"general_services","General Clinical Services","IMCI - Integrated Management of","Clinical Services","General Clinical Services","IMCI - Integrated Management of",TRUE,FALSE,TRUE,FALSE
"general_services","General Clinical Services","IPD - Inpatient Services","Clinical Services","General Clinical Services","IPD - Inpatient Services",TRUE,FALSE,TRUE,FALSE
"general_services","General Clinical Services","Major Surgical Interventions","Clinical Services","General Clinical Services","Major Surgical Interventions",TRUE,FALSE,TRUE,FALSE
"general_services","General Clinical Services","Mental Health Services","Clinical Services","General Clinical Services","Mental Health Services",TRUE,FALSE,TRUE,FALSE
"general_services","General Clinical Services","Minor Surgical Interventions","Clinical Services","General Clinical Services","Minor Surgical Interventions",TRUE,FALSE,TRUE,FALSE
"general_services","General Clinical Services","NCD - Other Non-Communicable Disease","Clinical Services","General Clinical Services","NCD - Other Non-Communicable Disease",TRUE,FALSE,TRUE,FALSE
"general_services","General Clinical Services","Nutritional Counseling","Clinical Services","General Clinical Services","Nutritional Counseling",TRUE,FALSE,TRUE,FALSE
"general_services","General Clinical Services","Nutritional Rehabilitation","Clinical Services","General Clinical Services","Nutritional Rehabilitation",TRUE,FALSE,TRUE,FALSE
"general_services","General Clinical Services","OPD - Outpatient Services","Clinical Services","General Clinical Services","OPD - Outpatient Services",TRUE,FALSE,TRUE,FALSE
"general_services","General Clinical Services","Physiotherapy","Clinical Services","General Clinical Services","Physiotherapy",TRUE,FALSE,TRUE,FALSE
"growth_nutrition","Growth Monitoring / Nutrition Surveillance","Adolescent Reproductive Health Services","Reproductive & Maternal Health","Reproductive & Maternal Health Services","Adolescent Reproductive Health Services",TRUE,FALSE,TRUE,FALSE
"growth_nutrition","Growth Monitoring / Nutrition Surveillance","Antenatal Care","Reproductive & Maternal Health","Reproductive & Maternal Health Services","Antenatal Care",TRUE,FALSE,TRUE,FALSE
"growth_nutrition","Growth Monitoring / Nutrition Surveillance","Breast Cancer","Clinical Services","General Clinical Services","Breast Cancer",TRUE,FALSE,TRUE,FALSE
"growth_nutrition","Growth Monitoring / Nutrition Surveillance","CEmOC - Comprehensive Emergency","Reproductive & Maternal Health","Reproductive & Maternal Health Services","CEmOC - Comprehensive Emergency",TRUE,FALSE,TRUE,FALSE
"growth_nutrition","Growth Monitoring / Nutrition Surveillance","Cervical Cancer","Reproductive & Maternal Health","Reproductive & Maternal Health Services","Cervical Cancer",TRUE,FALSE,TRUE,FALSE
"growth_nutrition","Growth Monitoring / Nutrition Surveillance","Councelling","Community & Preventive Health","Growth Monitoring & Nutrition","Councelling",TRUE,FALSE,TRUE,TRUE
"growth_nutrition","Growth Monitoring / Nutrition Surveillance","Emergency Contraception","Reproductive & Maternal Health","Reproductive & Maternal Health Services","Emergency Contraception",TRUE,FALSE,TRUE,FALSE
"growth_nutrition","Growth Monitoring / Nutrition Surveillance","FP-INV – Invasive Method","Reproductive & Maternal Health","Reproductive & Maternal Health Services","FP-INV – Invasive Method",TRUE,FALSE,TRUE,FALSE
"growth_nutrition","Growth Monitoring / Nutrition Surveillance","FP-NONINV - Noninvasive Method","Reproductive & Maternal Health","Reproductive & Maternal Health Services","FP-NONINV - Noninvasive Method",TRUE,FALSE,TRUE,FALSE
"growth_nutrition","Growth Monitoring / Nutrition Surveillance","Family Planning","Reproductive & Maternal Health","Reproductive & Maternal Health Services","Family Planning",TRUE,FALSE,TRUE,FALSE
"growth_nutrition","Growth Monitoring / Nutrition Surveillance","GBV PEP","Reproductive & Maternal Health","Reproductive & Maternal Health Services","GBV PEP",TRUE,FALSE,TRUE,FALSE
"growth_nutrition","Growth Monitoring / Nutrition Surveillance","GBV Trauma Counseling","Reproductive & Maternal Health","Reproductive & Maternal Health Services","GBV Trauma Counseling",TRUE,FALSE,TRUE,FALSE
"growth_nutrition","Growth Monitoring / Nutrition Surveillance","IMM-ADD - With Addition Vaccine","Community & Preventive Health","Growth Monitoring & Nutrition","IMM-ADD - With Addition Vaccine",TRUE,FALSE,TRUE,FALSE
"growth_nutrition","Growth Monitoring / Nutrition Surveillance","IMM-BASIC - Basic Immunization","Community & Preventive Health","Growth Monitoring & Nutrition","IMM-BASIC - Basic Immunization",TRUE,FALSE,TRUE,FALSE
"growth_nutrition","Growth Monitoring / Nutrition Surveillance","Management of Hypertensive Pregnancies","Reproductive & Maternal Health","Reproductive & Maternal Health Services","Management of Hypertensive Pregnancies",TRUE,FALSE,TRUE,FALSE
"growth_nutrition","Growth Monitoring / Nutrition Surveillance","Maternal and Newborn Care","Reproductive & Maternal Health","Reproductive & Maternal Health Services","Maternal and Newborn Care",TRUE,FALSE,TRUE,FALSE
