country,facility_code,uid,created_date
TZA,100675-8,TZA-000001,2026-05-15
TZA,124407-8,TZA-000002,2026-05-15
TZA,107809-6,TZA-000003,2026-05-15
TZA,100909-1,TZA-000004,2026-05-15
TZA,109516-5,TZA-000005,2026-05-15
TZA,111552-6,TZA-000006,2026-05-15
TZA,102269-8,TZA-000007,2026-05-15
TZA,111489-1,TZA-000008,2026-05-15
TZA,111784-5,TZA-000009,2026-05-15
TZA,112007-0,TZA-000010,2026-05-15
TZA,100188-2,TZA-000011,2026-05-15
TZA,108577-8,TZA-000012,2026-05-15
TZA,105312-3,TZA-000013,2026-05-15
TZA,113539-1,TZA-000014,2026-05-15
TZA,109601-5,TZA-000015,2026-05-15
TZA,123541-5,TZA-000016,2026-05-15
TZA,111844-7,TZA-000017,2026-05-15
TZA,124006-8,TZA-000018,2026-05-15
TZA,111997-3,TZA-000019,2026-05-15
TZA,112384-3,TZA-000020,2026-05-15
TZA,124406-0,TZA-000021,2026-05-15
TZA,101379-6,TZA-000022,2026-05-15
TZA,113632-4,TZA-000023,2026-05-15
TZA,106910-3,TZA-000024,2026-05-15
TZA,113640-7,TZA-000025,2026-05-15
TZA,111223-4,TZA-000026,2026-05-15
TZA,121007-9,TZA-000027,2026-05-15
TZA,113622-5,TZA-000028,2026-05-15
TZA,107868-2,TZA-000029,2026-05-15
TZA,100187-4,TZA-000030,2026-05-15
TZA,100192-4,TZA-000031,2026-05-15
TZA,109812-8,TZA-000032,2026-05-15
TZA,113551-6,TZA-000033,2026-05-15
TZA,110873-7,TZA-000034,2026-05-15
TZA,120892-5,TZA-000035,2026-05-15
TZA,102755-6,TZA-000036,2026-05-15
TZA,112912-1,TZA-000037,2026-05-15
TZA,109790-6,TZA-000038,2026-05-15
TZA,112001-3,TZA-000039,2026-05-15
TZA,120496-5,TZA-000040,2026-05-15
TZA,103490-9,TZA-000041,2026-05-15
TZA,110462-9,TZA-000042,2026-05-15
TZA,113627-4,TZA-000043,2026-05-15
TZA,121268-7,TZA-000044,2026-05-15
TZA,121157-2,TZA-000045,2026-05-15
TZA,112918-8,TZA-000046,2026-05-15
TZA,121648-0,TZA-000047,2026-05-15
TZA,104331-4,TZA-000048,2026-05-15
TZA,121375-0,TZA-000049,2026-05-15
TZA,123656-1,TZA-000050,2026-05-15
TZA,101462-0,TZA-000051,2026-05-15
TZA,122203-3,TZA-000052,2026-05-15
TZA,123643-9,TZA-000053,2026-05-15
TZA,106891-5,TZA-000054,2026-05-15
TZA,111488-3,TZA-000055,2026-05-15
TZA,113629-0,TZA-000056,2026-05-15
TZA,122602-6,TZA-000057,2026-05-15
TZA,120897-4,TZA-000058,2026-05-15
TZA,113549-0,TZA-000059,2026-05-15
TZA,110725-9,TZA-000060,2026-05-15
TZA,121635-7,TZA-000061,2026-05-15
TZA,111974-2,TZA-000062,2026-05-15
TZA,122071-4,TZA-000063,2026-05-15
TZA,121658-9,TZA-000064,2026-05-15
TZA,111491-7,TZA-000065,2026-05-15
TZA,112836-2,TZA-000066,2026-05-15
TZA,110831-5,TZA-000067,2026-05-15
TZA,111964-3,TZA-000068,2026-05-15
TZA,106358-5,TZA-000069,2026-05-15
TZA,111956-9,TZA-000070,2026-05-15
TZA,122338-7,TZA-000071,2026-05-15
TZA,101134-5,TZA-000072,2026-05-15
TZA,122268-6,TZA-000073,2026-05-15
TZA,113550-8,TZA-000074,2026-05-15
TZA,107008-5,TZA-000075,2026-05-15
TZA,105112-7,TZA-000076,2026-05-15
TZA,113623-3,TZA-000077,2026-05-15
TZA,121160-6,TZA-000078,2026-05-15
TZA,122072-2,TZA-000079,2026-05-15
TZA,113552-4,TZA-000080,2026-05-15
TZA,121333-9,TZA-000081,2026-05-15
TZA,111998-1,TZA-000082,2026-05-15
TZA,113628-2,TZA-000083,2026-05-15
TZA,109552-0,TZA-000084,2026-05-15
TZA,107527-4,TZA-000085,2026-05-15
TZA,123163-8,TZA-000086,2026-05-15
TZA,114594-5,TZA-000087,2026-05-15
TZA,101224-4,TZA-000088,2026-05-15
TZA,112824-8,TZA-000089,2026-05-15
TZA,123183-6,TZA-000090,2026-05-15
TZA,113542-5,TZA-000091,2026-05-15
TZA,121376-8,TZA-000092,2026-05-15
TZA,107817-9,TZA-000093,2026-05-15
TZA,110726-7,TZA-000094,2026-05-15
TZA,120766-1,TZA-000095,2026-05-15
TZA,122130-8,TZA-000096,2026-05-15
TZA,124005-0,TZA-000097,2026-05-15
TZA,112005-4,TZA-000098,2026-05-15
TZA,114497-1,TZA-000099,2026-05-15
TZA,122943-4,TZA-000100,2026-05-15
TZA,121091-3,TZA-000101,2026-05-15
TZA,120470-0,TZA-000102,2026-05-15
TZA,121380-0,TZA-000103,2026-05-15
TZA,108142-1,TZA-000104,2026-05-15
TZA,109983-7,TZA-000105,2026-05-15
TZA,101355-6,TZA-000106,2026-05-15
TZA,110721-8,TZA-000107,2026-05-15
TZA,110727-5,TZA-000108,2026-05-15
TZA,100364-9,TZA-000109,2026-05-15
TZA,120451-0,TZA-000110,2026-05-15
TZA,123471-5,TZA-000111,2026-05-15
TZA,110911-5,TZA-000112,2026-05-15
TZA,110919-8,TZA-000113,2026-05-15
TZA,124330-2,TZA-000114,2026-05-15
TZA,102258-1,TZA-000115,2026-05-15
TZA,122208-2,TZA-000116,2026-05-15
TZA,108118-1,TZA-000117,2026-05-15
TZA,112314-0,TZA-000118,2026-05-15
TZA,124022-5,TZA-000119,2026-05-15
TZA,112316-5,TZA-000120,2026-05-15
TZA,111255-6,TZA-000121,2026-05-15
TZA,109982-9,TZA-000122,2026-05-15
TZA,111957-7,TZA-000123,2026-05-15
TZA,111958-5,TZA-000124,2026-05-15
TZA,111960-1,TZA-000125,2026-05-15
TZA,111783-7,TZA-000126,2026-05-15
TZA,108580-2,TZA-000127,2026-05-15
TZA,111959-3,TZA-000128,2026-05-15
TZA,111965-0,TZA-000129,2026-05-15
TZA,111966-8,TZA-000130,2026-05-15
TZA,111983-3,TZA-000131,2026-05-15
TZA,111996-5,TZA-000132,2026-05-15
TZA,100320-1,TZA-000133,2026-05-15
TZA,122149-8,TZA-000134,2026-05-15
TZA,110715-0,TZA-000135,2026-05-15
TZA,112315-7,TZA-000136,2026-05-15
TZA,112318-1,TZA-000137,2026-05-15
